"pmean" "r" "q0.005" "q0.025" "q0.05" "q0.95" "q0.975" "q0.995"
"117" 0.1375659 0.29 0.006628286 0.020356904 0.030765483 0.2997227 0.3439274 0.4448395
"118" 0.13518866 0.2925 0.006278684 0.019165242 0.028961694 0.2968446 0.340916 0.4424339
"119" 0.13279622 0.295 0.005146883 0.018488386 0.028071571 0.2935924 0.3395094 0.4372479
"120" 0.13046175 0.2975 0.00453498 0.017511289 0.026659116 0.2904236 0.3368344 0.4306249
"121" 0.12818975 0.3 0.004274536 0.016296427 0.025661565 0.2883622 0.3336425 0.4272887
"122" 0.12601995 0.3025 0.004133907 0.015600129 0.024118843 0.2859405 0.3302451 0.4235171
"123" 0.12385292 0.305 0.003744434 0.014299556 0.022684872 0.2838266 0.3277536 0.4208285
"124" 0.12167396 0.3075 0.002095269 0.013182872 0.021377707 0.2820623 0.3253061 0.4168599
"125" 0.11957505 0.31 0.0019238 0.012162957 0.020275256 0.277124 0.3230163 0.4131954
"126" 0.11758098 0.3125 0.001741601 0.011251616 0.018928895 0.2749929 0.3206576 0.4111171
"127" 0.11566622 0.315 0 0.010778273 0.017877582 0.2738262 0.3181764 0.4111178
"128" 0.11373016 0.3175 0 0.009885072 0.016833913 0.2713376 0.3164715 0.4086074
"129" 0.11184462 0.32 0 0.009303867 0.016195831 0.2699159 0.3163429 0.40649
"130" 0.10994673 0.3225 0 0.008820106 0.015439172 0.2676109 0.3123614 0.4057763
"131" 0.10793305 0.325 0 0.007889289 0.014986471 0.2632516 0.3121437 0.4009879
"132" 0.10595523 0.3275 0 0.007539858 0.014047962 0.2613874 0.3101095 0.4045831
"133" 0.10417328 0.33 0 0.006610975 0.013134784 0.2603606 0.3070475 0.4042293
"134" 0.10234529 0.3325 0 0.006076613 0.012201325 0.2574787 0.3054893 0.4027155
"135" 0.10054897 0.335 0 0.005812634 0.011526266 0.2535117 0.301332 0.3987357
"136" 0.09882347 0.3375 0 0.005506535 0.010656854 0.251595 0.2987992 0.3981603
"137" 0.09711142 0.34 0 0.00478774 0.010125983 0.249497 0.2970105 0.3950535
"138" 0.09549557 0.3425 0 0.003968744 0.00934049 0.247164 0.2940087 0.3970677
"139" 0.09386485 0.345 0 0.003613415 0.008575139 0.2454745 0.290883 0.3923124
"140" 0.09238647 0.3475 0 0.00334697 0.007792348 0.2424789 0.2899848 0.3889339
"141" 0.09090862 0.35 0 0.002270768 0.007091608 0.2402357 0.2876035 0.3889404
"142" 0.08928537 0.3525 0 0.002042728 0.006485607 0.2386275 0.2859409 0.3815345
"143" 0.08783207 0.355 0 0.001928413 0.006272402 0.2353539 0.2839783 0.3804683
"144" 0.08624185 0.3575 0 0.001834967 0.005758594 0.2335545 0.2836075 0.3789122
"145" 0.0848225 0.36 0 0.001765268 0.005441851 0.2312111 0.283136 0.3746796
"146" 0.08336334 0.3625 0 0.001708685 0.005077666 0.2286035 0.2799888 0.3799641
"147" 0.08203398 0.365 0 0.001526937 0.004649833 0.2273386 0.277543 0.3772078
"148" 0.08065251 0.3675 0 0 0.004019275 0.2238533 0.2761819 0.3725777
"149" 0.07908863 0.37 0 0 0.003695704 0.2226709 0.2748761 0.3720377
"150" 0.07775497 0.3725 0 0 0.003329048 0.2212681 0.2706697 0.3667261
"151" 0.07642733 0.375 0 0 0.002937243 0.2196387 0.267533 0.3627684
"152" 0.0751785 0.3775 0 0 0.002041067 0.2176462 0.2659676 0.3636486
"153" 0.07394723 0.38 0 0 0.001890098 0.2150624 0.2628689 0.3617972
"154" 0.07278008 0.3825 0 0 0.001770231 0.2144478 0.2616883 0.357547
"155" 0.07148557 0.385 0 0 0.001708933 0.2120323 0.2611895 0.3597181
"156" 0.07021653 0.3875 0 0 0.001587098 0.2093039 0.2600786 0.3599128
"157" 0.06903295 0.39 0 0 0.001499477 0.2085749 0.2574757 0.3550574
"158" 0.0679617 0.3925 0 0 0 0.2061371 0.2544943 0.3560269
"159" 0.06677968 0.395 0 0 0 0.2036703 0.2537963 0.3477697
"160" 0.06562662 0.3975 0 0 0 0.201943 0.2515469 0.3529945
"161" 0.0645019 0.4 0 0 0 0.2012388 0.2460159 0.3480824
"162" 0.06334576 0.4025 0 0 0 0.1981913 0.2454277 0.3405957
"163" 0.06228329 0.405 0 0 0 0.1973956 0.2420215 0.3458
"164" 0.06129261 0.4075 0 0 0 0.1960246 0.2411289 0.3400213
"165" 0.0603394 0.41 0 0 0 0.1943985 0.2402579 0.3391378
"166" 0.05936172 0.4125 0 0 0 0.1924405 0.2399281 0.3350391
"167" 0.05845158 0.415 0 0 0 0.1903333 0.2373212 0.3375991
"168" 0.05748279 0.4175 0 0 0 0.18871 0.2361714 0.3348718
"169" 0.0565627 0.42 0 0 0 0.1870997 0.2343549 0.3309578
"170" 0.055685 0.4225 0 0 0 0.185055 0.2323138 0.3284844
"171" 0.0547342 0.425 0 0 0 0.1846811 0.2300904 0.3258503
"172" 0.05381741 0.4275 0 0 0 0.1827642 0.2293046 0.326268
"173" 0.0528994 0.43 0 0 0 0.1789097 0.2290409 0.3227172
"174" 0.05204156 0.4325 0 0 0 0.178274 0.2261184 0.3212019
"175" 0.05114607 0.435 0 0 0 0.1765016 0.2229103 0.3162865
"176" 0.05024426 0.4375 0 0 0 0.1746629 0.2207236 0.3121852
"177" 0.04943079 0.44 0 0 0 0.1726479 0.2208641 0.3123268
"178" 0.04855573 0.4425 0 0 0 0.170722 0.2178599 0.3085258
"179" 0.04772002 0.445 0 0 0 0.1705997 0.2142517 0.307549
"180" 0.04694958 0.4475 0 0 0 0.1682625 0.2133486 0.3003466
"181" 0.04620528 0.45 0 0 0 0.166669 0.2126622 0.3007216
"182" 0.04544031 0.4525 0 0 0 0.1624246 0.2113179 0.3014505
